RegionName2,Year,Epidemic_Week
Oromia,2020,37
Oromia,2020,38
Oromia,2020,39
Oromia,2020,40
Oromia,2020,41
Oromia,2020,42
Oromia,2020,43
Oromia,2020,44
Oromia,2020,45
Oromia,2020,46
Oromia,2020,47
Oromia,2020,48
Oromia,2020,49
Oromia,2020,50
Oromia,2020,51
Oromia,2020,52
Oromia,2021,1
Oromia,2021,2
Oromia,2021,3
Oromia,2021,4
Oromia,2021,5
Oromia,2021,6
Oromia,2021,7
Oromia,2021,8
Oromia,2021,9
Oromia,2021,10
Oromia,2021,11
Oromia,2021,12
Oromia,2021,13
Oromia,2021,14
Oromia,2021,15
Oromia,2021,16
Oromia,2021,17
Oromia,2021,18
Oromia,2021,19
Oromia,2021,20
Oromia,2021,21
Oromia,2021,22
Oromia,2021,23
Oromia,2021,24
Oromia,2021,25
Oromia,2021,26
Oromia,2021,27
Oromia,2021,28
Oromia,2021,29
Oromia,2021,30
Oromia,2021,31
Oromia,2021,32
Oromia,2021,33
Oromia,2021,34
Oromia,2021,35
Oromia,2021,36
Oromia,2021,37
Oromia,2021,38
Oromia,2021,39
Oromia,2021,40
Oromia,2021,41
Oromia,2021,42
Oromia,2021,43
Oromia,2021,44
Oromia,2021,45
Oromia,2021,46
Oromia,2021,47
Oromia,2021,48
Oromia,2021,49
Oromia,2021,50
Oromia,2021,51
Oromia,2021,52
Oromia,2022,5
Oromia,2022,6
Oromia,2022,7
Oromia,2022,8
Oromia,2022,9
Oromia,2022,10
Oromia,2022,11
Oromia,2022,12
Oromia,2022,13
Oromia,2022,14
Oromia,2022,15
Oromia,2022,16
Oromia,2022,17
Oromia,2022,18
Oromia,2022,19
Oromia,2022,20
Oromia,2022,21
Oromia,2022,22
Oromia,2022,23
